Description,Value,Date
Direct Shipping,-6,11/10/21
Direct Shipping,-20,11/28/21
300 Postage Stamps,-119.89,12/18/21
Direct Shipping,-16,12/29/21
Bulk Sell Shipping,-19.30,1/2/22
Bulk Sell Lot 58,130,1/2/22
Bulk Purchase Lot 59,-33,1/8/22
Bulk Sell Shipping Lot 59,-10,1/8/22
Bulk Sell Lot 59,25,1/8/22
Comedian Buy 24 cards worth $125 Lot 60,-60,1/13/22
Direct Shipping,-12.66,1/15/22
Offerup Buy Lot 61, -80, 1/20/22
4 binders Crimson Vow Worth $360 Lot 62,-200,1/20/22
NWSC 15000 Bulk Lot 63,-90,1/27/22
Bulk Lot 63,80,1/27/22
Bulk Lot 63,80,1/27/22
Bulk Lot 63,10,1/7/22
Prerelease lot 64,-52,2/14/22
Ebay Goro goro Lot 64,9,2/14/22
NWSC Bulk Lot 65,-200,2/16/22
Shipping Lot 65,-19,2/16/22
Shipping Lot 65,-14.5,2/16/22
Sale Lot 65,120,2/16/22
Sale Lot 65,100,2/16/22
Postage,-53,2/22/22
Postage,-35,2/22/22
Shipping,-1.96,2/23/22
Purchase $165 lot 66,-110,3/1/22
Postage,-35,3/9/22
Purchase Collection worth 80 lot 66,-50,3/23/22
Postage,-15.34,4/6/22
Purchase Bulk Lot 67,-110,4/19/22
Offerup worth $700 Lot 68,-400,11/11/22
whatnot worth $90 lot 69,-57,11/10/22
Postage stamps,-89.87,11/18/22
what not worth $90 lot 70,-50,11/22/22
Envelopes,-6,11/18/22
Whatnot torpor_nought worth $10 lot 71,-10.19,12/16/22
200 postage stamps,-36.64,1/4/23
whatnot worth $72.40 lot 72,-40,1/9/23
whatnot worth $142.65 lot 73,,1/9/23
120 postage stamps,-40,1/10/23
envelopes,-3.5,1/12/23
tr47 printer,-70,1/23/23
Phyrexia One will be all prerelease lot 74,-30,2/11/23
Superbowl Draft Lot 75,-220,2/28/23
Shipping order # 4C622486-0DED6A-45690,-3.90,4/17/23
tyler myers lot 75,-680,7/10/23
ancient tomb offerup lot 77,-60,9/28/23
shipping,-5,9/14/24
shipping,-5,9/14/24
shipping,-5,9/14/24
shipping,-5,9/14/24
