,Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL,Set Release Date
60,Magic,Dog Illusion // Vecna Double-sided Token,Near Mint Foil,,Adventures in the Forgotten Realms,T,1.0,,7/23/2021 12:00:00 AM
5,Magic,Feign Death,Near Mint,103.0,Adventures in the Forgotten Realms,C,2.0,,7/23/2021 12:00:00 AM
58,Magic,Ashnod's Transmogrant,Moderately Played,,Antiquities,U,1.0,,3/7/1994 12:00:00 AM
28,Magic,Orochi Leafcaller,Near Mint,234.0,Champions of Kamigawa,C,1.0,,10/1/2004 12:00:00 AM
49,Magic,Myriad Landscape,Near Mint,304.0,Commander 2021,U,3.0,,4/23/2021 12:00:00 AM
48,Magic,Chaos Warp,Near Mint,117.0,Commander: Adventures in the Forgotten Realms,R,1.0,,7/23/2021 12:00:00 AM
62,Magic,Garruk's Uprising,Near Mint Foil,186.0,Core Set 2021,U,1.0,,7/3/2020 12:00:00 AM
9,Magic,Gaea's Blessing,Near Mint,161.0,Dominaria,U,1.0,,4/27/2018 12:00:00 AM
51,Magic,Phyrexian Ghoul,Near Mint,98.0,Dominaria Remastered,C,1.0,,1/13/2023 12:00:00 AM
64,Magic,Adaptive Automaton,Near Mint Foil,231.0,Double Masters,R,1.0,,8/7/2020 12:00:00 AM
19,Magic,Gleam of Battle,Near Mint,73.0,Dragon's Maze,U,1.0,,5/3/2013 12:00:00 AM
53,Magic,Mind Spring,Near Mint,14.0,Duel Decks: Merfolk vs. Goblins,R,1.0,,11/10/2017 12:00:00 AM
12,Magic,Geier Reach Sanitarium,Near Mint,203.0,Eldritch Moon,R,1.0,,7/22/2016 12:00:00 AM
23,Magic,Shell Skulkin,Near Mint,173.0,Eventide,C,1.0,,7/25/2008 12:00:00 AM
55,Magic,Pandemonium,Lightly Played,93.0,Exodus,R,1.0,,6/15/1998 12:00:00 AM
46,Magic,High Tide (Merfolk),Near Mint,,Fallen Empires,C,1.0,,11/7/1994 12:00:00 AM
14,Magic,Whisperer of the Wilds,Near Mint,144.0,Fate Reforged,C,5.0,,1/23/2015 12:00:00 AM
57,Magic,Instill Energy,Moderately Played,,Fifth Edition,U,1.0,,3/24/1997 12:00:00 AM
34,Magic,Aladdin's Lamp,Near Mint,,Fourth Edition,R,1.0,,4/3/1995 12:00:00 AM
35,Magic,Backfire,Near Mint,,Fourth Edition,U,1.0,,4/3/1995 12:00:00 AM
36,Magic,Black Ward,Near Mint,,Fourth Edition,U,1.0,,4/3/1995 12:00:00 AM
37,Magic,Bronze Tablet,Near Mint,,Fourth Edition,R,1.0,,4/3/1995 12:00:00 AM
38,Magic,Dingus Egg,Near Mint,,Fourth Edition,R,1.0,,4/3/1995 12:00:00 AM
39,Magic,Disrupting Scepter,Near Mint,,Fourth Edition,R,1.0,,4/3/1995 12:00:00 AM
40,Magic,Gloom,Near Mint,,Fourth Edition,U,1.0,,4/3/1995 12:00:00 AM
41,Magic,Lure,Near Mint,,Fourth Edition,U,1.0,,4/3/1995 12:00:00 AM
42,Magic,Ornithopter,Near Mint,,Fourth Edition,U,1.0,,4/3/1995 12:00:00 AM
43,Magic,Sindbad,Near Mint,,Fourth Edition,U,1.0,,4/3/1995 12:00:00 AM
44,Magic,Twiddle,Near Mint,,Fourth Edition,C,1.0,,4/3/1995 12:00:00 AM
45,Magic,Volcanic Eruption,Near Mint,,Fourth Edition,R,1.0,,4/3/1995 12:00:00 AM
25,Magic,Lymph Sliver,Near Mint,26.0,Future Sight,C,1.0,,5/4/2007 12:00:00 AM
20,Magic,Thrull Parasite,Near Mint,81.0,Gatecrash,U,1.0,,2/1/2013 12:00:00 AM
33,Magic,Wild Growth,Near Mint,,Ice Age,C,3.0,,6/12/1995 12:00:00 AM
3,Magic,Vampire's Kiss,Near Mint,136.0,Innistrad: Crimson Vow,C,1.0,,11/19/2021 12:00:00 AM
4,Magic,Outland Liberator (Showcase),Near Mint,303.0,Innistrad: Midnight Hunt,U,1.0,,9/24/2021 12:00:00 AM
10,Magic,Wily Goblin,Near Mint,174.0,Ixalan,U,1.0,,9/29/2017 12:00:00 AM
47,Magic,Rogue's Gloves,Near Mint,479.0,Jumpstart,U,1.0,,7/17/2020 12:00:00 AM
11,Magic,Attune with Aether,Near Mint,145.0,Kaladesh,C,1.0,,9/30/2016 12:00:00 AM
63,Magic,Diabolic Tutor,Near Mint Foil,75.0,Kaladesh,U,1.0,,9/30/2016 12:00:00 AM
6,Magic,Behold the Multiverse,Near Mint,46.0,Kaldheim,C,1.0,,2/5/2021 12:00:00 AM
7,Magic,Calamity Bearer,Near Mint,125.0,Kaldheim,R,1.0,,2/5/2021 12:00:00 AM
61,Magic,"Magda, Brazen Outlaw",Near Mint Foil,142.0,Kaldheim,R,1.0,,2/5/2021 12:00:00 AM
59,Magic,Moonsnare Prototype,Near Mint Foil,69.0,Kamigawa: Neon Dynasty,C,1.0,,2/18/2022 12:00:00 AM
17,Magic,Manaweft Sliver,Near Mint,184.0,Magic 2014 (M14),U,1.0,,7/19/2013 12:00:00 AM
18,Magic,Syphon Sliver,Near Mint,117.0,Magic 2014 (M14),R,1.0,,7/19/2013 12:00:00 AM
15,Magic,Diffusion Sliver,Near Mint,50.0,Magic 2015 (M15),U,1.0,,7/18/2014 12:00:00 AM
13,Magic,Starfield of Nyx,Near Mint,33.0,Magic Origins,M,1.0,,7/17/2015 12:00:00 AM
31,Magic,Bone Harvest,Near Mint,,Mirage,C,1.0,,10/7/1996 12:00:00 AM
32,Magic,Quirion Elves,Near Mint,,Mirage,C,1.0,,10/7/1996 12:00:00 AM
50,Magic,Chatterstorm (Retro Frame),Near Mint,411.0,Modern Horizons 2,C,1.0,,6/19/2021 12:00:00 AM
65,Magic,Tezzeret the Seeker,Near Mint Foil,62.0,Modern Masters 2015,M,1.0,,5/22/2015 12:00:00 AM
54,Magic,Delaying Shield,Lightly Played,17.0,Odyssey,R,1.0,,10/1/2001 12:00:00 AM
26,Magic,Frenetic Sliver,Near Mint,157.0,Planar Chaos,U,1.0,,2/2/2007 12:00:00 AM
21,Magic,Liege of the Tangle,Near Mint,123.0,Scars of Mirrodin,M,1.0,,10/1/2010 12:00:00 AM
22,Magic,Ratchet Bomb,Near Mint,196.0,Scars of Mirrodin,R,1.0,,10/1/2010 12:00:00 AM
24,Magic,Lockjaw Snapper,Near Mint,255.0,Shadowmoor,U,1.0,,5/2/2008 12:00:00 AM
2,Magic,Jewel Thief,Near Mint,151.0,Streets of New Capenna,C,3.0,,4/29/2022 12:00:00 AM
30,Magic,Disturbed Burial,Near Mint,129.0,Tempest,C,1.0,,10/13/1997 12:00:00 AM
52,Magic,Esper Charm,Near Mint,179.0,The List Reprints,U,1.0,,9/25/2020 12:00:00 AM
16,Magic,Titan's Strength,Near Mint,145.0,Theros,C,1.0,,9/27/2013 12:00:00 AM
27,Magic,Gemhide Sliver,Near Mint,196.0,Time Spiral,C,1.0,,10/6/2006 12:00:00 AM
56,Magic,Bubbling Muck,Moderately Played,54.0,Urza's Destiny,C,2.0,,6/7/1999 12:00:00 AM
29,Magic,Cloud of Faeries,Near Mint,29.0,Urza's Legacy,C,1.0,,2/15/1999 12:00:00 AM
8,Magic,Enter the God-Eternals,Near Mint,196.0,War of the Spark,R,1.0,,5/3/2019 12:00:00 AM
0,Magic,Night of the Sweets' Revenge,Near Mint,178.0,Wilds of Eldraine,U,1.0,,9/8/2023 12:00:00 AM
1,Magic,Restless Spire,Near Mint,260.0,Wilds of Eldraine,R,1.0,,9/8/2023 12:00:00 AM
